fname,label
00063640.wav,Finger_snapping Telephone Tearing 
0013a1db.wav,Flute Oboe Clarinet 
002bb878.wav,Bass_drum Electric_piano Snare_drum 
002d392d.wav,Bass_drum Gong Electric_piano 
00326aa9.wav,Oboe Harmonica Flute 
0038a046.wav,Bass_drum Knock Gong 
003995fa.wav,Squeak Microwave_oven Oboe 
005ae625.wav,Acoustic_guitar Clarinet Gong 
007759c4.wav,Acoustic_guitar Clarinet Gong 
008afd93.wav,Flute Clarinet Saxophone 
00a161c0.wav,Double_bass Acoustic_guitar Cello 
00a7a2f6.wav,Clarinet Flute Saxophone 
00ae03f6.wav,Hi-hat Snare_drum Fireworks 
00b2404e.wav,Cello Violin_or_fiddle Double_bass 
00beb030.wav,Clarinet Cello Saxophone 
00c4d5b8.wav,Double_bass Acoustic_guitar Cello 
00c92c05.wav,Acoustic_guitar Glockenspiel Gong 
00ccf065.wav,Bass_drum Electric_piano Gong 
00d0ab77.wav,Flute Clarinet Saxophone 
00dffe3a.wav,Bass_drum Gong Electric_piano 
00e33205.wav,Flute Clarinet Saxophone 
00e7ed07.wav,Clarinet Oboe Flute 
00eac343.wav,Electric_piano Gong Hi-hat 
00f2f692.wav,Hi-hat Cowbell Gong 
0102a895.wav,Acoustic_guitar Electric_piano Cello 
010a0b3a.wav,Tambourine Keys_jangling Hi-hat 
010eed01.wav,Trumpet Knock Applause 
01115622.wav,Shatter Tambourine Hi-hat 
01198b7e.wav,Glockenspiel Electric_piano Acoustic_guitar 
01207ce5.wav,Gong Writing Bus 
0137bfba.wav,Writing Shatter Snare_drum 
014eb52e.wav,Clarinet Saxophone Flute 
01608fa3.wav,Bass_drum Gong Electric_piano 
0169348e.wav,Clarinet Flute Saxophone 
016e52da.wav,Flute Clarinet Chime 
0183b482.wav,Acoustic_guitar Glockenspiel Gong 
0185de6b.wav,Acoustic_guitar Electric_piano Gong 
01a5a2a3.wav,Bark Flute Violin_or_fiddle 
01aed32a.wav,Acoustic_guitar Glockenspiel Gong 
01afccc5.wav,Acoustic_guitar Snare_drum Laughter 
01b4cdb5.wav,Acoustic_guitar Snare_drum Bark 
01b85217.wav,Flute Clarinet Saxophone 
01bb344f.wav,Gong Cello Acoustic_guitar 
01bede12.wav,Saxophone Oboe Trumpet 
01c9d6d3.wav,Chime Acoustic_guitar Electric_piano 
01e628cb.wav,Flute Clarinet Saxophone 
01e6e112.wav,Bus Gong Microwave_oven 
01e99e2d.wav,Violin_or_fiddle Harmonica Cello 
01eccb6e.wav,Clarinet Saxophone Flute 
01f27f99.wav,Fireworks Bus Snare_drum 
01f29edb.wav,Flute Clarinet Saxophone 
01f9883e.wav,Acoustic_guitar Gong Microwave_oven 
01fd22ba.wav,Bass_drum Electric_piano Flute 
01fe4a01.wav,Hi-hat Cowbell Fireworks 
02107093.wav,Bass_drum Knock Electric_piano 
02182ebd.wav,Hi-hat Gunshot_or_gunfire Shatter 
02198549.wav,Scissors Computer_keyboard Writing 
0220d48a.wav,Knock Bass_drum Fireworks 
02210ee7.wav,Clarinet Saxophone Flute 
022170df.wav,Acoustic_guitar Clarinet Saxophone 
023431b2.wav,Violin_or_fiddle Oboe Trumpet 
023e7db3.wav,Flute Saxophone Clarinet 
023eab1f.wav,Double_bass Cello Gong 
02482fdc.wav,Acoustic_guitar Glockenspiel Gong 
024e45b1.wav,Clarinet Saxophone Flute 
026820e6.wav,Laughter Drawer_open_or_close Microwave_oven 
02697329.wav,Bass_drum Electric_piano Gong 
027a8b14.wav,Finger_snapping Shatter Hi-hat 
027dbe3e.wav,Double_bass Gong Bass_drum 
027f06cc.wav,Squeak Writing Bus 
028278f0.wav,Trumpet Oboe Harmonica 
028db587.wav,Double_bass Gong Bass_drum 
02960f07.wav,Scissors Writing Shatter 
0298b2c6.wav,Flute Oboe Clarinet 
02a0eb3c.wav,Acoustic_guitar Snare_drum Electric_piano 
02ad476f.wav,Shatter Squeak Drawer_open_or_close 
02af55f6.wav,Acoustic_guitar Electric_piano Clarinet 
02c3af87.wav,Trumpet Oboe Saxophone 
02c46d0b.wav,Acoustic_guitar Snare_drum Electric_piano 
02c6f112.wav,Violin_or_fiddle Cello Harmonica 
02cb4d01.wav,Bass_drum Electric_piano Saxophone 
02d5dc55.wav,Bass_drum Knock Fireworks 
02d9b93c.wav,Saxophone Flute Clarinet 
02df943b.wav,Bass_drum Knock Double_bass 
02e99b5e.wav,Clarinet Saxophone Cello 
02f8d82c.wav,Trumpet Violin_or_fiddle Harmonica 
02fb6c5b.wav,Bass_drum Computer_keyboard Knock 
0300b76b.wav,Cello Flute Double_bass 
0303e3a5.wav,Electric_piano Gong Cello 
03079bb2.wav,Squeak Microwave_oven Keys_jangling 
030bacc6.wav,Drawer_open_or_close Fireworks Squeak 
030db750.wav,Squeak Telephone Microwave_oven 
0310089a.wav,Oboe Flute Meow 
0316ff65.wav,Snare_drum Tambourine Acoustic_guitar 
03199dbe.wav,Cello Double_bass Electric_piano 
031b6d8f.wav,Saxophone Flute Clarinet 
03319789.wav,Violin_or_fiddle Flute Clarinet 
033a0cbe.wav,Bass_drum Double_bass Knock 
0345130c.wav,Trumpet Oboe Saxophone 
034b1b41.wav,Electric_piano Clarinet Glockenspiel 
034c1c69.wav,Flute Saxophone Clarinet 
035e420f.wav,Hi-hat Gunshot_or_gunfire Tambourine 
036c1697.wav,Acoustic_guitar Snare_drum Fireworks 
036f228c.wav,Acoustic_guitar Glockenspiel Clarinet 
03786473.wav,Violin_or_fiddle Clarinet Telephone 
037e7b6f.wav,Clarinet Saxophone Flute 
0381efd3.wav,Double_bass Cello Gong 
038397e9.wav,Bass_drum Electric_piano Snare_drum 
03858091.wav,Bass_drum Knock Fireworks 
03888259.wav,Double_bass Cello Acoustic_guitar 
0394e0d4.wav,Hi-hat Gong Cowbell 
03953467.wav,Flute Cello Violin_or_fiddle 
039d36e9.wav,Violin_or_fiddle Cello Acoustic_guitar 
03ab8828.wav,Acoustic_guitar Gong Trumpet 
03af84e5.wav,Oboe Clarinet Harmonica 
03b7faf1.wav,Tearing Writing Fireworks 
03c1c5f4.wav,Oboe Clarinet Flute 
03c5bfbb.wav,Drawer_open_or_close Fart Squeak 
03d2bdca.wav,Clarinet Saxophone Cello 
03d5a89c.wav,Clarinet Violin_or_fiddle Saxophone 
03e1e393.wav,Harmonica Bus Violin_or_fiddle 
03e2ecd9.wav,Acoustic_guitar Double_bass Electric_piano 
03e860b2.wav,Trumpet Oboe Harmonica 
03f2e21f.wav,Cello Clarinet Saxophone 
03f39877.wav,Hi-hat Gunshot_or_gunfire Shatter 
03fafd5b.wav,Double_bass Gong Cello 
03fccc98.wav,Bass_drum Knock Gong 
0402129f.wav,Drawer_open_or_close Laughter Microwave_oven 
040258a9.wav,Saxophone Violin_or_fiddle Clarinet 
041521b0.wav,Bass_drum Snare_drum Electric_piano 
04154da3.wav,Bass_drum Electric_piano Snare_drum 
0419676b.wav,Clarinet Cello Saxophone 
041983cd.wav,Acoustic_guitar Gong Cello 
04199401.wav,Fart Tearing Squeak 
041c68ec.wav,Violin_or_fiddle Trumpet Harmonica 
041c7581.wav,Violin_or_fiddle Clarinet Cello 
041eed83.wav,Drawer_open_or_close Squeak Fireworks 
0422b811.wav,Burping_or_eructation Fart Telephone 
0448c553.wav,Bass_drum Electric_piano Gong 
0448d513.wav,Cello Violin_or_fiddle Saxophone 
044aef8a.wav,Squeak Writing Gunshot_or_gunfire 
045931e0.wav,Telephone Flute Meow 
0459ee65.wav,Saxophone Clarinet Cello 
045c6122.wav,Hi-hat Gunshot_or_gunfire Computer_keyboard 
045c9ea8.wav,Clarinet Saxophone Flute 
04605af5.wav,Squeak Writing Hi-hat 
046250d3.wav,Clarinet Saxophone Cello 
046486df.wav,Computer_keyboard Tearing Applause 
0468ad68.wav,Saxophone Clarinet Oboe 
046e86b5.wav,Hi-hat Gong Gunshot_or_gunfire 
047b5857.wav,Cello Violin_or_fiddle Saxophone 
047bf19c.wav,Flute Clarinet Chime 
047e0d21.wav,Flute Meow Chime 
048470a5.wav,Squeak Fart Tearing 
04a301e9.wav,Oboe Trumpet Saxophone 
04ab46a9.wav,Cello Saxophone Clarinet 
04ab4e22.wav,Tambourine Chime Hi-hat 
04b031df.wav,Trumpet Snare_drum Hi-hat 
04b249bd.wav,Writing Drawer_open_or_close Fireworks 
04b7ef77.wav,Flute Oboe Meow 
04bdae57.wav,Hi-hat Cowbell Snare_drum 
04c2ed9c.wav,Clarinet Saxophone Acoustic_guitar 
04d15abd.wav,Trumpet Saxophone Oboe 
04dbef05.wav,Gong Cello Trumpet 
04dddbf5.wav,Bass_drum Electric_piano Snare_drum 
04ecda67.wav,Bass_drum Electric_piano Gong 
04ed8568.wav,Bass_drum Knock Double_bass 
04f232c6.wav,Bass_drum Double_bass Knock 
04f46a27.wav,Bass_drum Gong Electric_piano 
04f85a49.wav,Acoustic_guitar Gong Microwave_oven 
04fb8280.wav,Acoustic_guitar Glockenspiel Gong 
0509ce2f.wav,Hi-hat Shatter Fireworks 
0520faf4.wav,Clarinet Flute Violin_or_fiddle 
05296d2a.wav,Clarinet Saxophone Flute 
0529d428.wav,Snare_drum Knock Bass_drum 
0539bb41.wav,Acoustic_guitar Cello Gong 
053a5fc6.wav,Hi-hat Fireworks Shatter 
053b4c56.wav,Shatter Squeak Chime 
053e7bb5.wav,Snare_drum Trumpet Gunshot_or_gunfire 
054508f3.wav,Bass_drum Electric_piano Snare_drum 
0548124b.wav,Double_bass Gong Cello 
054dbf39.wav,Oboe Clarinet Saxophone 
054eeab6.wav,Bark Laughter Meow 
05562991.wav,Clarinet Glockenspiel Flute 
0558af35.wav,Harmonica Squeak Flute 
0568741b.wav,Acoustic_guitar Glockenspiel Gong 
05723b3a.wav,Acoustic_guitar Cello Double_bass 
057425e6.wav,Fart Fireworks Tearing 
0576d7ba.wav,Fart Bass_drum Gunshot_or_gunfire 
057c2963.wav,Clarinet Flute Saxophone 
0586f0e0.wav,Harmonica Squeak Meow 
058a0e87.wav,Bass_drum Gong Electric_piano 
058e63ea.wav,Tambourine Hi-hat Shatter 
0594d8c2.wav,Hi-hat Cowbell Gong 
059d5420.wav,Saxophone Clarinet Flute 
059ffef4.wav,Oboe Clarinet Saxophone 
05a15a14.wav,Saxophone Clarinet Flute 
05ad10fb.wav,Flute Saxophone Clarinet 
05ae0583.wav,Trumpet Acoustic_guitar Gong 
05c2056b.wav,Clarinet Saxophone Flute 
05c8453f.wav,Trumpet Fireworks Knock 
05cae96f.wav,Snare_drum Bass_drum Tearing 
05cc88d2.wav,Hi-hat Gunshot_or_gunfire Shatter 
05ccb0ff.wav,Writing Laughter Electric_piano 
05f3c709.wav,Chime Trumpet Cowbell 
05f40290.wav,Acoustic_guitar Gong Cello 
05fc58ee.wav,Bass_drum Gunshot_or_gunfire Snare_drum 
05fca090.wav,Flute Saxophone Clarinet 
060428bd.wav,Acoustic_guitar Double_bass Cello 
0608d8b7.wav,Gong Flute Violin_or_fiddle 
06123abf.wav,Acoustic_guitar Gong Electric_piano 
062c3119.wav,Clarinet Flute Saxophone 
062f9f91.wav,Cough Squeak Laughter 
06308a6b.wav,Clarinet Acoustic_guitar Saxophone 
0630cf5e.wav,Acoustic_guitar Electric_piano Gong 
0638da1a.wav,Acoustic_guitar Snare_drum Trumpet 
063d81f8.wav,Clarinet Flute Saxophone 
06718b47.wav,Trumpet Oboe Saxophone 
0671a98a.wav,Oboe Trumpet Saxophone 
06775f3c.wav,Acoustic_guitar Bark Laughter 
0678a571.wav,Trumpet Saxophone Oboe 
067d6a04.wav,Flute Saxophone Clarinet 
06827666.wav,Violin_or_fiddle Acoustic_guitar Glockenspiel 
0682b1f6.wav,Squeak Hi-hat Telephone 
0689d2f6.wav,Bass_drum Snare_drum Gong 
069b1efa.wav,Flute Saxophone Clarinet 
069b4384.wav,Bass_drum Knock Cello 
069e4fb3.wav,Squeak Fireworks Drawer_open_or_close 
06b27161.wav,Violin_or_fiddle Harmonica Cello 
06bb374e.wav,Fart Tearing Keys_jangling 
06bd2694.wav,Bass_drum Snare_drum Electric_piano 
06c33b21.wav,Gong Bus Acoustic_guitar 
06c535eb.wav,Cough Acoustic_guitar Telephone 
06d4796b.wav,Oboe Flute Clarinet 
06dcd7a0.wav,Fireworks Squeak Writing 
06e1d866.wav,Gong Cough Shatter 
06e4a7a3.wav,Acoustic_guitar Glockenspiel Electric_piano 
06e4c394.wav,Violin_or_fiddle Harmonica Clarinet 
06ee2e39.wav,Violin_or_fiddle Clarinet Oboe 
06faccbf.wav,Acoustic_guitar Writing Squeak 
06fbe4da.wav,Bass_drum Knock Gong 
070096e9.wav,Clarinet Flute Saxophone 
070204c5.wav,Glockenspiel Fireworks Shatter 
07038d45.wav,Squeak Writing Gunshot_or_gunfire 
07063bc9.wav,Keys_jangling Tambourine Trumpet 
070fea08.wav,Flute Violin_or_fiddle Clarinet 
0716b51d.wav,Double_bass Knock Bass_drum 
071b2b62.wav,Acoustic_guitar Electric_piano Bass_drum 
071e7724.wav,Cello Gong Acoustic_guitar 
071f4c75.wav,Acoustic_guitar Glockenspiel Gong 
0722054b.wav,Clarinet Saxophone Flute 
07256457.wav,Oboe Saxophone Trumpet 
0730b080.wav,Bass_drum Electric_piano Gong 
0736d78e.wav,Cough Squeak Fart 
073d6755.wav,Knock Double_bass Trumpet 
0745def5.wav,Acoustic_guitar Saxophone Clarinet 
0751e141.wav,Hi-hat Shatter Fireworks 
0755629f.wav,Knock Bass_drum Cello 
